e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.0888,0.0732,135.0,0.8874,0.0222,0.0782,0.4823,0.02812,6.736,0.07159,0.004175,16.0,0.0888,135.0,0.015600000000000003
0.0888,0.0732,135.0,0.8874,0.0222,0.0782,0.6352,0.03704,6.736,0.09429,0.005498,16.0,0.0888,135.0,0.015600000000000003
0.0888,0.073,135.0,0.8879,0.0221,0.0782,1.185,0.06908,7.011,0.169,0.009853,16.0,0.0888,135.0,0.01580000000000001
0.0888,0.0729,135.0,0.8881,0.0221,0.0782,1.488,0.08679,7.148,0.2082,0.01214,16.0,0.0888,135.0,0.015899999999999997
0.0888,0.0727,135.0,0.8885,0.022,0.0782,1.412,0.08233,7.42,0.1902,0.01109,16.0,0.0888,135.0,0.016100000000000003
0.0888,0.0725,135.0,0.889,0.022,0.0781,1.188,0.06931,7.688,0.1546,0.009015,16.0,0.0888,135.0,0.01630000000000001
0.0888,0.0724,135.0,0.8892,0.022,0.0781,1.076,0.06275,7.819,0.1376,0.008025,16.0,0.0888,135.0,0.016399999999999998
0.0888,0.0722,135.0,0.8896,0.0219,0.0781,0.9342,0.05446,8.076,0.1157,0.006744,16.0,0.0888,135.0,0.016600000000000004
0.0888,0.072,135.0,0.8901,0.0218,0.0781,1.068,0.06232,8.323,0.1284,0.007487,16.0,0.0888,135.0,0.01680000000000001
0.0888,0.0719,135.0,0.8903,0.0218,0.0781,1.218,0.07105,8.442,0.1443,0.008416,16.0,0.0888,135.0,0.0169
0.0888,0.0717,135.0,0.8907,0.0217,0.078,1.15,0.06705,8.673,0.1326,0.007731,16.0,0.0888,135.0,0.017100000000000004
0.0888,0.0714,135.0,0.8914,0.0216,0.078,0.965,0.05627,8.995,0.1073,0.006255,16.0,0.0888,135.0,0.0174
0.0888,0.0712,135.0,0.8918,0.0216,0.078,0.7224,0.04213,9.202,0.07851,0.004578,16.0,0.0888,135.0,0.017600000000000005
0.0888,0.071,135.0,0.8922,0.0215,0.078,0.6234,0.03635,9.398,0.06633,0.003868,16.0,0.0888,135.0,0.01780000000000001
0.0888,0.0708,135.0,0.8927,0.0215,0.0779,0.6831,0.03983,9.581,0.0713,0.004158,16.0,0.0888,135.0,0.018000000000000002
0.0888,0.0706,135.0,0.8931,0.0214,0.0779,0.8097,0.04722,9.751,0.08304,0.004843,16.0,0.0888,135.0,0.018200000000000008
0.0888,0.0704,135.0,0.8935,0.0213,0.0779,0.9325,0.05437,9.909,0.09411,0.005487,16.0,0.0888,135.0,0.0184
0.0888,0.0702,135.0,0.894,0.0213,0.0778,0.9775,0.057,10.06,0.09721,0.005668,16.0,0.0888,135.0,0.018600000000000005
0.0888,0.07,135.0,0.8944,0.0212,0.0778,1.067,0.06219,10.19,0.1047,0.006102,16.0,0.0888,135.0,0.018799999999999997
0.0888,0.0695,135.0,0.8955,0.0211,0.0777,1.097,0.06399,10.49,0.1046,0.006101,16.0,0.0888,135.0,0.019299999999999998
0.0888,0.0692,135.0,0.8962,0.021,0.0777,1.028,0.05993,10.64,0.09655,0.005631,16.0,0.0888,135.0,0.019600000000000006
0.0888,0.0691,135.0,0.8964,0.0209,0.0777,1.218,0.07105,10.69,0.114,0.006647,16.0,0.0888,135.0,0.01970000000000001
0.0888,0.069,135.0,0.8966,0.0209,0.0777,1.466,0.08546,10.73,0.1366,0.007962,16.0,0.0888,135.0,0.019799999999999998
0.0888,0.0689,135.0,0.8968,0.0209,0.0777,1.56,0.09097,10.78,0.1447,0.008441,16.0,0.0888,135.0,0.0199
0.0888,0.0688,135.0,0.897,0.0209,0.0776,1.792,0.1045,10.82,0.1657,0.009658,16.0,0.0888,135.0,0.020000000000000004
0.0888,0.0686,135.0,0.8975,0.0208,0.0776,1.79,0.1044,10.9,0.1643,0.009579,16.0,0.0888,135.0,0.02020000000000001
0.0888,0.0683,135.0,0.8981,0.0207,0.0776,1.497,0.08728,11.0,0.1361,0.007935,16.0,0.0888,135.0,0.020500000000000004
0.0888,0.0682,135.0,0.8983,0.0207,0.0775,1.333,0.07775,11.03,0.1209,0.007048,16.0,0.0888,135.0,0.020600000000000007
