Z,A,E0,ThetaDeg,Ex,cross,error,dataSet,Q2,Q2CC,Q3CC,nu,RT,RTerr,Q2bin,Q2center,qvbin,qvcenter,RL_fortran_data,RT_fortran_data,RL_fortran_center,RT_fortran_center,bin_centering_correction,RT_bc,RTerr_bc
6,12,0.1506,180,0.0601,3576.0,126.0,17,0.05213678170186077,0.05511586238762285,0.2423383427929283,0.06405155759983273,0.01801477575907489,0.0006347488103029742,0.045~0.070,0.056,0.223~0.270,0.24,0.026379824,0.017877545,0.026304568,0.017538319,0.9810250232903902,0.0176729458086176,0.0006227044664110227
6,12,0.1506,180,0.0618,3236.0,113.5,17,0.05111270170186077,0.05407070238762285,0.2406032883973593,0.06575155759983273,0.01643153885302897,0.0005763225153951756,0.045~0.070,0.056,0.223~0.270,0.24,0.025730477,0.017154653,0.025703547,0.017063021,0.9946584754585244,0.0163437693849913,0.0005732440745353873
6,12,0.1506,180,0.0638,3185.0,139.0,17,0.04990790170186078,0.05284110238762285,0.2385614017137367,0.06775155759983273,0.01633372645134986,0.0007128376693053786,0.045~0.070,0.056,0.223~0.270,0.24,0.024904068,0.016239727,0.024988027,0.016467529,1.014027452555083,0.01656284702419388,0.0007228369658910359
6,12,0.1506,180,0.066,2946.0,126.0,17,0.04858262170186077,0.05148854238762284,0.2363144988942127,0.06995155759983274,0.01528584818493532,0.0006537735476245249,0.045~0.070,0.056,0.223~0.270,0.24,0.023920806,0.015175487,0.024185981,0.015778064,1.039707259477076,0.01589280732514175,0.0006797331035193007
6,12,0.1506,180,0.0676,2795.0,126.0,17,0.04761878170186078,0.05050486238762285,0.2346798295287067,0.07155155759983273,0.0146343379108048,0.000659723283277783,0.045~0.070,0.056,0.223~0.270,0.24,0.023162572,0.014375595,0.023592029,0.015261453,1.061622353718229,0.0155361402579765,0.0007003769847960779
6,12,0.1506,180,0.0699,2492.0,176.5,17,0.04623326170186077,0.04909082238762284,0.2323291466596967,0.07385155759983274,0.01323028814859892,0.000937056925452532,0.045~0.070,0.056,0.223~0.270,0.24,0.022022736,0.013215687,0.022724261,0.014502971,1.097405757264076,0.01451899438453512,0.001028331664875782
6,12,0.1506,180,0.0718,2392.0,151.5,17,0.04508870170186077,0.04792270238762285,0.2303865065224586,0.07575155759983274,0.01285630131247299,0.0008142682478426665,0.045~0.070,0.056,0.223~0.270,0.24,0.021049297,0.012253415,0.021998702,0.013870989,1.132010055972152,0.0145534623683274,0.0009217598448167226
6,12,0.1506,180,0.074,2190.0,126.5,17,0.04376342170186077,0.04657014238762285,0.2281362364632652,0.07795155759983273,0.01195085772882786,0.0006903121016880021,0.045~0.070,0.056,0.223~0.270,0.24,0.01990372,0.011163401,0.021154394,0.013139214,1.1769902380108,0.01406604288268631,0.0008124906048674969
6,12,0.1506,180,0.0759,2128.0,113.5,17,0.04261886170186077,0.04540202238762285,0.2261920254730985,0.07985155759983273,0.01177649633018223,0.000628116698061881,0.045~0.070,0.056,0.223~0.270,0.24,0.018910239,0.010240491,0.020426656,0.012513701,1.221982520174082,0.01439067266437691,0.0007675476256610802
6,12,0.1506,180,0.0779,1990.0,126.5,17,0.04141406170186077,0.04417242238762285,0.2241446684345243,0.08185155759983273,0.01118723679391696,0.0007111484695630634,0.035~0.045,0.04,0.223~0.270,0.24,0.017872606,0.0093120916,0.019666752,0.011865361,1.274188604416219,0.01425464963771483,0.0009061372759652901
6,12,0.1506,180,0.0799,1864.0,126.5,17,0.04020926170186077,0.04294282238762285,0.2220964483903848,0.08385155759983273,0.01065599853813953,0.0007231672827653703,0.035~0.045,0.04,0.186~0.223,0.205,0.016851563,0.0084205909,0.014565304,0.0059656041,0.7084543318688002,0.007549288324732552,0.0005123309941409161
6,12,0.1506,180,0.082,1725.0,139.0,17,0.03894422170186077,0.04165174238762284,0.2199448621532743,0.08595155759983274,0.01004848496463164,0.0008097040058456797,0.035~0.045,0.04,0.186~0.223,0.205,0.015805626,0.0075339428,0.013827337,0.0054852715,0.7280744817972337,0.007316045483471475,0.0005895248244652375
6,12,0.1506,180,0.084,1726.0,113.5,17,0.03773942170186077,0.04042214238762284,0.2178947966052031,0.08795155759983274,0.01024842637557589,0.0006739260681505583,0.035~0.045,0.04,0.186~0.223,0.205,0.014840131,0.0067405023,0.013156675,0.0050518632,0.7494787443363086,0.007680977731389723,0.0005050932633329859
6,12,0.1506,180,0.0857,1752.0,113.5,17,0.03671534170186077,0.03937698238762285,0.2161515033202935,0.08965155759983273,0.01058385377539338,0.0006856549106775959,0.035~0.045,0.04,0.186~0.223,0.205,0.014045971,0.0061076472,0.012610961,0.0047062215,0.7705457348616992,0.008155343385029261,0.0005283284670096008
6,12,0.1506,180,0.088,1651.0,139.0,17,0.03532982170186078,0.03796294238762284,0.2137918202074692,0.09195155759983273,0.01022527947091559,0.0008608805853769034,0.035~0.045,0.04,0.186~0.223,0.205,0.013012786,0.0053082934,0.011906845,0.0042667301,0.8037856573640034,0.008218932981260536,0.0006919634672290823
6,12,0.1506,180,0.0898,1436.0,151.5,17,0.03424550170186077,0.03685630238762284,0.2119441963999553,0.09375155759983274,0.009080993241476177,0.0009580574345986355,0.035~0.045,0.04,0.186~0.223,0.205,0.012238879,0.0047326971,0.011382486,0.0039488761,0.8343817524261167,0.007577015054592614,0.0007993856412052792
6,12,0.1506,180,0.0916,1236.0,126.5,17,0.03316118170186077,0.03574966238762285,0.2100957457627899,0.09555155759983273,0.007990957435663016,0.0008178447537308831,0.035~0.045,0.04,0.186~0.223,0.205,0.011495737,0.0041988772,0.01088051,0.0036518837,0.8697286265004368,0.006949964434942647,0.000711302994352949
6,12,0.1506,180,0.0939,1135.0,126.0,17,0.03177566170186077,0.03433562238762285,0.2077325982787074,0.09785155759983273,0.007563218017865898,0.0008396171544062584,0.025~0.035,0.026,0.186~0.223,0.205,0.01059054,0.003572612,0.010270854,0.0033115788,0.9269349148466164,0.007010610849356921,0.0007782704555233234
6,12,0.1506,180,0.0957,946.0,114.0,17,0.03069134170186077,0.03322898238762285,0.2058821808404575,0.09965155759983273,0.006465538501261419,0.0007791452316530675,0.025~0.035,0.026,0.186~0.223,0.205,0.009917583,0.0031450423,0.009816478,0.0030610953,0.9733081491463564,0.006292961311897259,0.0007583484033364562
