e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.48,0.3725,36.0,1.0138,0.0683,0.802,3.03,0.1696,3.19,0.9499,0.05317,1.0,0.48,36.0,0.10749999999999998
0.48,0.3675,36.0,1.0241,0.0674,0.7995,2.721,0.1563,2.825,0.963,0.05531,1.0,0.48,36.0,0.11249999999999999
0.48,0.3625,36.0,1.0344,0.0665,0.7968,2.329,0.1396,2.503,0.9303,0.05576,1.0,0.48,36.0,0.1175
0.48,0.3575,36.0,1.0447,0.0655,0.794,2.062,0.1284,2.216,0.9304,0.05796,1.0,0.48,36.0,0.1225
0.48,0.3525,36.0,1.055,0.0646,0.791,1.825,0.1163,1.964,0.9291,0.05922,1.0,0.48,36.0,0.1275
0.48,0.3475,36.0,1.0653,0.0637,0.7878,1.62,0.1076,1.746,0.9278,0.06164,1.0,0.48,36.0,0.1325
0.48,0.3425,36.0,1.0756,0.0628,0.7845,1.414,0.1103,1.557,0.9082,0.07082,1.0,0.48,36.0,0.13749999999999996
0.48,0.3375,36.0,1.0859,0.0619,0.781,1.229,0.1021,1.396,0.8803,0.07311,1.0,0.48,36.0,0.14249999999999996
0.48,0.3325,36.0,1.0962,0.061,0.7773,1.185,0.1001,1.259,0.9413,0.07947,1.0,0.48,36.0,0.14749999999999996
0.48,0.3275,36.0,1.1065,0.06,0.7734,1.061,0.09567,1.144,0.9278,0.08365,1.0,0.48,36.0,0.15249999999999997
0.48,0.3225,36.0,1.1168,0.0591,0.7694,0.9816,0.09254,1.047,0.9374,0.08837,1.0,0.48,36.0,0.15749999999999997
0.48,0.3175,36.0,1.1271,0.0582,0.7652,0.9584,0.09154,0.9677,0.9904,0.09459,1.0,0.48,36.0,0.16249999999999998
0.48,0.3125,36.0,1.1374,0.0573,0.7607,0.9485,0.09144,0.9032,1.05,0.1012,1.0,0.48,36.0,0.16749999999999998
0.48,0.3075,36.0,1.1477,0.0564,0.7561,0.9526,0.09227,0.8522,1.118,0.1083,1.0,0.48,36.0,0.1725
0.48,0.3025,36.0,1.158,0.0555,0.7513,0.9369,0.09213,0.8131,1.152,0.1133,1.0,0.48,36.0,0.1775
0.48,0.2975,36.0,1.1683,0.0545,0.7462,0.8508,0.08978,0.7846,1.084,0.1144,1.0,0.48,36.0,0.1825
0.48,0.2925,36.0,1.1786,0.0536,0.741,0.8169,0.0895,0.7658,1.067,0.1169,1.0,0.48,36.0,0.1875
0.48,0.2875,36.0,1.1889,0.0527,0.7355,0.7532,0.08819,0.7557,0.9967,0.1167,1.0,0.48,36.0,0.1925
0.48,0.2825,36.0,1.1992,0.0518,0.7298,0.8169,0.08315,0.7534,1.084,0.1104,1.0,0.48,36.0,0.1975
0.48,0.2775,36.0,1.2095,0.0509,0.7239,0.8649,0.08595,0.7582,1.141,0.1134,1.0,0.48,36.0,0.20249999999999996
0.48,0.2725,36.0,1.2198,0.05,0.7178,0.9733,0.09798,0.7694,1.265,0.1273,1.0,0.48,36.0,0.20749999999999996
0.48,0.2675,36.0,1.2301,0.049,0.7115,0.999,0.1014,0.7863,1.27,0.1289,1.0,0.48,36.0,0.21249999999999997
0.48,0.2625,36.0,1.2404,0.0481,0.7049,0.9932,0.1029,0.8064,1.232,0.1276,1.0,0.48,36.0,0.21749999999999997
0.48,0.2575,36.0,1.2507,0.0472,0.6981,1.027,0.1072,0.8334,1.233,0.1286,1.0,0.48,36.0,0.22249999999999998
0.48,0.2525,36.0,1.261,0.0463,0.691,1.099,0.1125,0.8641,1.272,0.1302,1.0,0.48,36.0,0.22749999999999998
0.48,0.2475,36.0,1.2713,0.0454,0.6837,1.114,0.1166,0.8979,1.241,0.1299,1.0,0.48,36.0,0.23249999999999998
0.48,0.2425,36.0,1.2816,0.0445,0.6761,1.155,0.1217,0.9332,1.238,0.1305,1.0,0.48,36.0,0.2375
0.48,0.2375,36.0,1.2919,0.0435,0.6683,1.152,0.1249,0.9712,1.186,0.1286,1.0,0.48,36.0,0.2425
0.48,0.2325,36.0,1.3022,0.0426,0.6603,1.213,0.131,1.009,1.202,0.1297,1.0,0.48,36.0,0.24749999999999997
0.48,0.2275,36.0,1.3125,0.0417,0.6519,1.296,0.1388,1.048,1.236,0.1324,1.0,0.48,36.0,0.25249999999999995
0.48,0.2225,36.0,1.3228,0.0408,0.6434,1.165,0.1378,1.087,1.072,0.1268,1.0,0.48,36.0,0.25749999999999995
0.48,0.2175,36.0,1.3331,0.0399,0.6345,1.264,0.1465,1.123,1.126,0.1305,1.0,0.48,36.0,0.26249999999999996
0.48,0.2125,36.0,1.3434,0.039,0.6254,1.176,0.1483,1.157,1.016,0.1281,1.0,0.48,36.0,0.26749999999999996
0.48,0.2075,36.0,1.3537,0.038,0.616,1.356,0.1688,1.188,1.141,0.1421,1.0,0.48,36.0,0.27249999999999996
0.48,0.2025,36.0,1.364,0.0371,0.6064,1.369,0.1681,1.216,1.126,0.1383,1.0,0.48,36.0,0.27749999999999997
0.48,0.1975,36.0,1.3743,0.0362,0.5965,1.343,0.1736,1.24,1.084,0.14,1.0,0.48,36.0,0.2825
0.48,0.1925,36.0,1.3846,0.0353,0.5863,1.35,0.1817,1.259,1.073,0.1444,1.0,0.48,36.0,0.2875
0.48,0.1875,36.0,1.3949,0.0344,0.5758,1.39,0.1916,1.273,1.092,0.1506,1.0,0.48,36.0,0.2925
0.48,0.1825,36.0,1.4052,0.0335,0.5651,1.261,0.1892,1.282,0.9839,0.1476,1.0,0.48,36.0,0.2975
0.48,0.1775,36.0,1.4155,0.0325,0.5541,1.391,0.2046,1.286,1.082,0.1591,1.0,0.48,36.0,0.3025
0.48,0.1725,36.0,1.4258,0.0316,0.5428,1.591,0.2301,1.285,1.238,0.1791,1.0,0.48,36.0,0.3075
